year,scenario,project_id,project_name,calc_group,chain,emissions_mtco2e,start_year,lifespan_years,lifespan_source,start_was_placeholder,canada_only
2025,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,12.32,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2026,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,29.568,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2027,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2028,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2029,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2030,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2031,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2032,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2033,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2034,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2035,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2036,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2037,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2038,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2039,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2040,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2041,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2042,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2043,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2044,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2045,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2046,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2047,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2048,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2049,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2050,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2051,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2052,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2053,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2054,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2055,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2056,inventory_as_reported,lng_canada_phase_1,LNG Canada Terminal,operating,export,41.888,2025,32,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 8y from Asset Register:authorised_export_term_years),False,False
2028,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,4.6464,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2029,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,8.1312,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2030,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2031,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2032,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2033,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2034,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2035,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2036,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2037,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2038,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2039,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2040,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2041,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2042,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2043,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2044,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2045,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2046,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2047,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2048,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2049,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2050,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2051,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2052,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2053,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2054,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2055,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2056,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2057,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2058,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2059,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2060,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2061,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2062,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2063,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2064,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2065,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2066,inventory_as_reported,cedar_lng,Cedar FLNG Terminal,under_construction,export,9.745824,2028,39,Asset Register:authorised_export_end_year=2066 (hard stop; cuts 1y from Asset Register:authorised_export_term_years),False,False
2028,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,2.9568,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2029,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,5.1744,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2030,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2031,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2032,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2033,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2034,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2035,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2036,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2037,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2038,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2039,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2040,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2041,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2042,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2043,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2044,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2045,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2046,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2047,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2048,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2049,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2050,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2051,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2052,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2053,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2054,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2055,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2056,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2057,inventory_as_reported,woodfibre_lng,Woodfibre LNG Terminal,under_construction,export,6.201888,2028,30,Asset Register:authorised_export_end_year=2057 (hard stop; cuts 10y from Asset Register:authorised_export_term_years),False,False
2035,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,19.712,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2036,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,34.496,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2037,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2038,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2039,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2040,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2041,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2042,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2043,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2044,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2045,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2046,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2047,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2048,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2049,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2050,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2051,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2052,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2053,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2054,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2055,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2056,inventory_as_reported,lng_canada_phase_2,LNG Canada Terminal,proposed,export,41.34592,2030,27,Asset Register:authorised_export_end_year=2056 (hard stop; cuts 13y from Asset Register:authorised_export_term_years),False,False
2034,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,16.896,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2035,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,29.568,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2036,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2037,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2038,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2039,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2040,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2041,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2042,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2043,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2044,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2045,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
2046,inventory_as_reported,ksi_lisims_lng,Ksi Lisims FLNG Terminal,proposed,export,35.43936,2029,35,Asset Register:authorised_export_end_year=2063 (hard stop; cuts 5y from Asset Register:authorised_export_term_years),False,False
